[2024-08-20T09:01:46.269Z] info GET / 200 5.966ms
[2024-08-20T09:01:56.009Z] info GET /t 404 1.681ms
[2024-08-20T09:01:56.011Z] info GET /t 404 0.740ms
[2024-08-20T09:01:58.366Z] info GET /t 404 0.782ms
[2024-08-20T09:01:58.367Z] info GET /t 404 0.572ms
[2024-08-20T09:02:00.791Z] info GET /t 404 0.709ms
[2024-08-20T09:05:41.671Z] warn GET /t 404 6.408ms
[2024-08-20T09:05:50.195Z] error GET /error 500 2.397ms
[2024-08-20T09:13:13.812Z] error 📛 GET /error 500 7.135ms
[2024-08-20T09:15:26.066Z] error 📛 GET /error 500 9.382ms
[2024-08-20T09:15:32.153Z] info ✅ GET / 200 2.510ms
[2024-08-20T09:15:32.155Z] info ✅ GET / 200 0.613ms
[2024-08-20T09:15:35.551Z] info ✅ GET / 200 0.870ms
[2024-08-20T09:15:40.648Z] warn ⚠️ GET /t 404 2.122ms
[2024-08-20T09:16:58.810Z] warn ⚠️ GET /t 404 6.125ms
[2024-08-20T09:17:49.477Z] warn ⚠️ GET /t 404 2.454ms
[2024-08-20T09:17:54.502Z] warn ⚠️ GET /test 404 0.686ms
[2024-08-20T09:18:03.932Z] error 📛 GET /error 500 2.655ms
[2024-08-20T09:18:05.904Z] error 📛 GET /error 500 1.213ms
[2024-08-20T09:18:11.050Z] info ✅ GET / 200 1.760ms
[2024-08-20T09:18:46.637Z] info ✅ GET / 200 6.290ms
[2024-08-20T09:18:50.026Z] error ⛔ GET /error 500 3.361ms
[2024-08-20T09:18:58.917Z] warn ⚠️ GET /e 404 1.010ms
[2024-08-20T09:19:05.352Z] info ✅ GET / 200 0.817ms
[2024-08-20T09:19:24.794Z] warn ⚠️  GET /3 404 6.226ms
[2024-08-20T09:19:35.832Z] error ⛔ GET /error 500 2.641ms
[2024-08-20T09:19:39.942Z] info ✅ GET / 200 2.355ms
